management,subscriber_id,md_id,date,gas_consumption,source,month,year,season,heating_season,month_name
г.Амвросиевка,101000010137,1735124,2020-01-01,11847,интернет,1,2020,winter,1,January
г.Амвросиевка,101000009230,3222025,2020-01-01,10101,контрольное снятие,1,2020,winter,1,January
г.Амвросиевка,101000008605,1758296,2020-01-01,650,явка в УГГ,1,2020,winter,1,January
г.Амвросиевка,101000002897,2915469,2020-01-01,6329,явка в УГГ,1,2020,winter,1,January
г.Амвросиевка,101000003002,1745580,2020-01-01,17559,контрольное снятие,1,2020,winter,1,January
г.Амвросиевка,101000002026,1742316,2020-01-01,61692,по квитанции,1,2020,winter,1,January
г.Амвросиевка,101000000384,1748456,2020-01-01,27600,контрольное снятие,1,2020,winter,1,January
г.Амвросиевка,101000005478,2705066,2020-01-01,400,контрольное снятие,1,2020,winter,1,January
г.Амвросиевка,101000005477,2704978,2020-01-01,383,контрольное снятие,1,2020,winter,1,January
г.Амвросиевка,101000001295,1739836,2020-01-01,45657,плановый объем,1,2020,winter,1,January
г.Амвросиевка,101000011485,1737872,2020-01-01,22659,контрольное снятие,1,2020,winter,1,January
г.Амвросиевка,101000012415,1739482,2020-01-01,20332,контрольное снятие,1,2020,winter,1,January
г.Амвросиевка,101000006025,2854328,2020-01-01,2502,контрольное снятие,1,2020,winter,1,January
г.Амвросиевка,101000009231,1759922,2020-01-01,24700,контрольное снятие,1,2020,winter,1,January
г.Амвросиевка,101000005476,2705064,2020-01-01,678,контрольное снятие,1,2020,winter,1,January
г.Амвросиевка,101000005475,2705062,2020-01-01,439,контрольное снятие,1,2020,winter,1,January
г.Амвросиевка,101000007546,1755272,2020-01-01,52866,контрольное снятие,1,2020,winter,1,January
г.Амвросиевка,101000012223,3669027,2020-01-01,3300,плановый объем,1,2020,winter,1,January
г.Амвросиевка,101000001294,3040023,2020-01-01,7706,плановый объем,1,2020,winter,1,January
г.Амвросиевка,101000010897,2796186,2020-01-01,4428,плановый объем,1,2020,winter,1,January
г.Амвросиевка,101000004394,1750350,2020-01-01,15705,явка в УГГ,1,2020,winter,1,January
г.Амвросиевка,101000010362,1735644,2020-01-01,16771,явка в УГГ,1,2020,winter,1,January
г.Амвросиевка,101000005479,2705068,2020-01-01,3001,контрольное снятие,1,2020,winter,1,January
г.Амвросиевка,101000011367,1737526,2020-01-01,31359,по квитанции,1,2020,winter,1,January
г.Амвросиевка,101000003217,1746318,2020-01-01,27673,контрольное снятие,1,2020,winter,1,January
г.Амвросиевка,101000000547,1752654,2020-01-01,22667,плановый объем,1,2020,winter,1,January
г.Амвросиевка,101000010795,1736386,2020-01-01,11148,по квитанции,1,2020,winter,1,January
г.Амвросиевка,101000010794,2832739,2020-01-01,874,плановый объем,1,2020,winter,1,January
г.Амвросиевка,101000007858,1756262,2020-01-01,25539,явка в УГГ,1,2020,winter,1,January
г.Амвросиевка,101000009228,1759910,2020-01-01,34120,контрольное снятие,1,2020,winter,1,January
г.Амвросиевка,101000004392,1750344,2020-01-01,36002,плановый объем,1,2020,winter,1,January
г.Амвросиевка,101000008608,1758302,2020-01-01,99963,плановый объем,1,2020,winter,1,January
г.Амвросиевка,101000007157,1754322,2020-01-01,1240,контрольное снятие,1,2020,winter,1,January
г.Амвросиевка,101000011727,1738486,2020-01-01,17018,контрольное снятие,1,2020,winter,1,January
г.Амвросиевка,101000010363,1735648,2020-01-01,52570,контрольное снятие,1,2020,winter,1,January
г.Амвросиевка,101000001299,1739850,2020-01-01,33598,контрольное снятие,1,2020,winter,1,January
г.Амвросиевка,101000002022,1742300,2020-01-01,26096,контрольное снятие,1,2020,winter,1,January
г.Амвросиевка,101000007291,1754512,2020-01-01,3958,контрольное снятие,1,2020,winter,1,January
г.Амвросиевка,101000000074,2835394,2020-01-01,19750,по квитанции,1,2020,winter,1,January
г.Амвросиевка,101000005481,2705072,2020-01-01,1185,контрольное снятие,1,2020,winter,1,January
г.Амвросиевка,101000001298,1739846,2020-01-01,35508,плановый объем,1,2020,winter,1,January
г.Амвросиевка,101000002024,1742308,2020-01-01,80240,по телефону,1,2020,winter,1,January
г.Амвросиевка,101000009931,1761994,2020-01-01,81792,контрольное снятие,1,2020,winter,1,January
г.Амвросиевка,101000008607,1758300,2020-01-01,50682,плановый объем,1,2020,winter,1,January
г.Амвросиевка,101000000073,1754530,2020-01-01,22770,контрольное снятие,1,2020,winter,1,January
г.Амвросиевка,101000004393,1750348,2020-01-01,45134,по телефону,1,2020,winter,1,January
г.Амвросиевка,101000006022,2825614,2020-01-01,663,контрольное снятие,1,2020,winter,1,January
г.Амвросиевка,101000009229,1759914,2020-01-01,43814,контрольное снятие,1,2020,winter,1,January
г.Амвросиевка,101000002025,1742314,2020-01-01,35421,контрольное снятие,1,2020,winter,1,January
г.Амвросиевка,101000010792,1736384,2020-01-01,9902,плановый объем,1,2020,winter,1,January
г.Амвросиевка,101000003895,1748634,2020-01-01,34595,по квитанции,1,2020,winter,1,January
